iter	Passed	Remaining
0	31	31079
1	58	29255
2	87	29235
3	123	30696
4	146	29194
5	175	29115
6	203	28875
7	229	28428
8	253	27861
9	282	27969
10	305	27487
11	331	27319
12	364	27642
13	391	27545
14	418	27496
15	444	27329
16	473	27358
17	496	27114
18	528	27268
19	559	27394
20	588	27432
21	622	27672
22	651	27668
23	681	27696
24	713	27823
25	738	27677
26	766	27635
27	791	27492
28	822	27523
29	852	27567
30	876	27407
31	903	27321
32	931	27307
33	958	27235
34	996	27462
35	1024	27441
36	1052	27399
37	1083	27417
38	1107	27293
39	1134	27218
40	1162	27187
41	1189	27137
42	1217	27105
43	1249	27149
44	1276	27093
45	1300	26973
46	1332	27012
47	1362	27013
48	1390	26988
49	1414	26884
50	1445	26897
51	1475	26902
52	1504	26883
53	1535	26904
54	1560	26811
55	1593	26860
56	1617	26764
57	1647	26760
58	1678	26771
59	1700	26646
60	1723	26532
61	1754	26544
62	1781	26500
63	1804	26396
64	1830	26330
65	1859	26312
66	1883	26229
67	1911	26196
68	1942	26206
69	1973	26215
70	1997	26131
71	2031	26184
72	2058	26137
73	2085	26101
74	2117	26114
75	2141	26036
76	2166	25969
77	2197	25979
78	2223	25926
79	2251	25891
80	2280	25877
81	2287	25603
82	2310	25531
83	2336	25475
84	2363	25439
85	2388	25387
86	2416	25361
87	2449	25384
88	2478	25369
89	2505	25335
90	2535	25325
91	2560	25268
92	2586	25229
93	2617	25227
94	2645	25200
95	2670	25149
96	2696	25104
97	2726	25090
98	2753	25063
99	2787	25088
100	2816	25068
101	2848	25075
102	2876	25051
103	2899	24978
104	2933	25001
105	2960	24967
106	2987	24929
107	3018	24934
108	3046	24900
109	3074	24873
110	3106	24877
111	3127	24800
112	3155	24771
113	3159	24558
114	3195	24588
115	3225	24579
116	3259	24597
117	3287	24569
118	3308	24492
119	3332	24439
120	3361	24421
121	3390	24398
122	3416	24359
123	3450	24374
124	3478	24349
125	3501	24288
126	3533	24289
127	3558	24241
128	3583	24195
129	3613	24181
130	3637	24132
131	3666	24107
132	3694	24081
133	3718	24028
134	3743	23983
135	3773	23971
136	3797	23923
137	3823	23884
138	3856	23890
139	3886	23872
140	3924	23909
141	3951	23874
142	3976	23831
143	4006	23816
144	4036	23803
145	4063	23767
146	4090	23733
147	4115	23691
148	4142	23659
149	4171	23640
150	4198	23607
151	4226	23579
152	4252	23541
153	4283	23530
154	4313	23514
155	4346	23513
156	4374	23490
157	4398	23438
158	4425	23410
159	4454	23383
160	4479	23341
161	4503	23297
162	4530	23265
163	4557	23232
164	4584	23198
165	4611	23167
166	4637	23131
167	4660	23080
168	4686	23043
169	4714	23018
170	4740	22980
171	4770	22966
172	4798	22936
173	4829	22924
174	4855	22891
175	4880	22851
176	4904	22803
177	4935	22792
178	4961	22756
179	4994	22753
180	5019	22714
181	5047	22684
182	5078	22673
183	5105	22642
184	5133	22614
185	5163	22595
186	5191	22568
187	5215	22525
188	5247	22517
189	5270	22470
190	5300	22450
191	5331	22436
192	5358	22403
193	5385	22376
194	5416	22358
195	5434	22293
196	5460	22256
197	5489	22234
198	5521	22224
199	5549	22198
200	5577	22171
201	5599	22121
202	5626	22090
203	5652	22054
204	5679	22025
205	5708	22002
206	5738	21985
207	5771	21976
208	5799	21950
209	5832	21940
210	5862	21922
211	5893	21906
212	5925	21894
213	5951	21857
214	5975	21817
215	6006	21803
216	6032	21768
217	6060	21738
218	6088	21714
219	6111	21668
220	6139	21640
221	6168	21617
222	6196	21591
223	6222	21555
224	6247	21520
225	6275	21491
226	6303	21463
227	6336	21454
228	6361	21416
229	6388	21387
230	6417	21363
231	6442	21326
232	6464	21280
233	6493	21258
234	6523	21234
235	6549	21203
236	6578	21179
237	6600	21131
238	6625	21096
239	6656	21079
240	6681	21041
241	6706	21007
242	6735	20983
243	6764	20959
244	6789	20921
245	6819	20903
246	6849	20882
247	6875	20848
248	6907	20833
249	6933	20800
250	6958	20763
251	6979	20717
252	7007	20690
253	7036	20666
254	7068	20651
255	7098	20630
256	7125	20599
257	7149	20562
258	7180	20543
259	7204	20505
260	7227	20465
261	7257	20441
262	7284	20412
263	7311	20384
264	7339	20356
265	7369	20334
266	7391	20292
267	7420	20266
268	7446	20234
269	7476	20213
270	7506	20193
271	7532	20161
272	7558	20129
273	7591	20113
274	7618	20084
275	7640	20041
276	7672	20025
277	7699	19996
278	7721	19954
279	7750	19930
280	7776	19898
281	7804	19872
282	7836	19854
283	7861	19819
284	7884	19781
285	7914	19759
286	7942	19730
287	7968	19700
288	7997	19675
289	8020	19636
290	8042	19595
291	8069	19566
292	8102	19551
293	8128	19520
294	8154	19488
295	8187	19472
296	8210	19435
297	8233	19394
298	8260	19367
299	8290	19344
300	8319	19320
301	8349	19298
302	8375	19265
303	8401	19234
304	8433	19217
305	8459	19186
306	8491	19169
307	8522	19148
308	8546	19111
309	8573	19083
310	8601	19057
311	8632	19035
312	8656	19000
313	8686	18977
314	8712	18946
315	8738	18916
316	8771	18899
317	8794	18861
318	8824	18838
319	8853	18812
320	8878	18780
321	8906	18754
322	8934	18726
323	8962	18699
324	8988	18668
325	9016	18642
326	9046	18619
327	9075	18592
328	9105	18570
329	9128	18533
330	9155	18505
331	9182	18475
332	9213	18455
333	9235	18415
334	9259	18380
335	9287	18352
336	9311	18318
337	9331	18275
338	9367	18264
339	9391	18229
340	9420	18205
341	9450	18181
342	9480	18159
343	9503	18122
344	9531	18095
345	9557	18065
346	9584	18037
347	9615	18015
348	9647	17996
349	9674	17966
350	9704	17942
351	9731	17915
352	9761	17891
353	9787	17860
354	9815	17833
355	9848	17815
356	9878	17792
357	9904	17760
358	9938	17744
359	9968	17721
360	9994	17690
361	10023	17666
362	10053	17642
363	10086	17623
364	10110	17588
365	10139	17563
366	10169	17540
367	10199	17516
368	10227	17489
369	10256	17464
370	10283	17434
371	10309	17404
372	10338	17378
373	10360	17340
374	10384	17307
375	10411	17277
376	10439	17251
377	10465	17221
378	10489	17187
379	10513	17153
380	10537	17120
381	10567	17096
382	10592	17063
383	10617	17031
384	10650	17013
385	10679	16987
386	10707	16960
387	10740	16941
388	10762	16904
389	10787	16872
390	10814	16843
391	10838	16810
392	10866	16782
393	10894	16756
394	10921	16727
395	10947	16697
396	10974	16668
397	11002	16642
398	11027	16610
399	11058	16588
400	11088	16563
401	11112	16530
402	11141	16505
403	11166	16472
404	11192	16442
405	11219	16414
406	11249	16390
407	11278	16364
408	11312	16345
409	11338	16316
410	11363	16284
411	11392	16258
412	11416	16225
413	11445	16200
414	11476	16177
415	11502	16147
416	11532	16123
417	11562	16098
418	11589	16069
419	11618	16044
420	11649	16021
421	11677	15994
422	11705	15966
423	11732	15938
424	11759	15909
425	11783	15877
426	11815	15855
427	11842	15827
428	11868	15797
429	11899	15773
430	11926	15745
431	11956	15720
432	11983	15691
433	12009	15662
434	12033	15630
435	12064	15606
436	12091	15578
437	12119	15550
438	12146	15522
439	12175	15495
440	12204	15469
441	12233	15443
442	12258	15413
443	12284	15383
444	12314	15358
445	12344	15333
446	12374	15309
447	12399	15278
448	12427	15250
449	12453	15221
450	12482	15195
451	12509	15165
452	12538	15139
453	12562	15108
454	12590	15081
455	12623	15059
456	12647	15028
457	12673	14997
458	12704	14974
459	12729	14943
460	12755	14913
461	12786	14889
462	12815	14863
463	12841	14833
464	12868	14805
465	12893	14775
466	12920	14746
467	12950	14721
468	12974	14689
469	13002	14662
470	13030	14634
471	13058	14608
472	13080	14574
473	13116	14555
474	13143	14526
475	13170	14499
476	13202	14475
477	13226	14444
478	13254	14416
479	13283	14390
480	13304	14355
481	13333	14329
482	13360	14301
483	13382	14267
484	13408	14238
485	13435	14209
486	13464	14182
487	13489	14152
488	13518	14126
489	13543	14096
490	13569	14066
491	13598	14040
492	13626	14013
493	13651	13983
494	13678	13954
495	13705	13926
496	13730	13896
497	13762	13873
498	13787	13842
499	13812	13812
500	13845	13790
501	13872	13761
502	13898	13732
503	13929	13708
504	13957	13681
505	13988	13656
506	14013	13626
507	14036	13594
508	14069	13571
509	14096	13543
510	14123	13515
511	14151	13488
512	14185	13466
513	14212	13438
514	14243	13414
515	14270	13385
516	14299	13359
517	14326	13331
518	14353	13302
519	14379	13273
520	14409	13247
521	14436	13219
522	14460	13188
523	14491	13163
524	14517	13135
525	14539	13102
526	14567	13075
527	14594	13046
528	14621	13018
529	14651	12992
530	14678	12964
531	14706	12936
532	14736	12912
533	14762	12882
534	14787	12853
535	14817	12826
536	14846	12800
537	14876	12775
538	14905	12748
539	14933	12720
540	14961	12693
541	14991	12668
542	15018	12640
543	15049	12614
544	15074	12584
545	15102	12557
546	15134	12533
547	15162	12506
548	15191	12480
549	15221	12454
550	15244	12422
551	15266	12390
552	15289	12358
553	15318	12332
554	15344	12303
555	15372	12275
556	15401	12249
557	15425	12218
558	15456	12193
559	15484	12166
560	15508	12135
561	15534	12107
562	15566	12082
563	15591	12053
564	15616	12023
565	15646	11997
566	15671	11967
567	15697	11938
568	15727	11912
569	15753	11884
570	15781	11856
571	15809	11829
572	15837	11802
573	15862	11772
574	15892	11746
575	15917	11717
576	15939	11685
577	15967	11657
578	15990	11626
579	16021	11601
580	16051	11575
581	16073	11543
582	16099	11515
583	16132	11491
584	16155	11460
585	16182	11432
586	16214	11407
587	16238	11378
588	16266	11350
589	16297	11325
590	16324	11297
591	16354	11271
592	16378	11240
593	16408	11215
594	16435	11186
595	16453	11153
596	16479	11124
597	16508	11097
598	16532	11067
599	16560	11040
600	16589	11013
601	16615	10985
602	16640	10955
